n,method,value,ops,time_ms
1,iterative,1,0,0.000003160
1,memoization,1,0,0.000003200
1,recursive,1,0,0.000007000
2,iterative,1,1,0.000005740
2,memoization,1,1,0.000158100
2,recursive,1,1,0.000011000
3,iterative,2,2,0.000008200
3,memoization,2,2,0.000166800
3,recursive,2,2,0.000015000
4,iterative,3,3,0.000010320
4,memoization,3,3,0.000093650
4,recursive,3,4,0.000023000
5,iterative,5,4,0.000012700
5,memoization,5,4,0.000183800
5,recursive,5,7,0.000037000
6,iterative,8,5,0.000015180
6,memoization,8,5,0.000109750
6,recursive,8,12,0.000058000
7,iterative,13,6,0.000017320
7,memoization,13,6,0.000201550
7,recursive,13,20,0.000094000
8,iterative,21,7,0.000019800
8,memoization,21,7,0.000128550
8,recursive,21,33,0.000147000
9,iterative,34,8,0.000022420
9,memoization,34,8,0.000219750
9,recursive,34,54,0.000237000
10,iterative,55,9,0.000024980
10,memoization,55,9,0.000149600
10,recursive,55,88,0.000383000
11,iterative,89,10,0.000027740
11,memoization,89,10,0.000239650
11,recursive,89,143,0.000622000
12,iterative,144,11,0.000030680
12,memoization,144,11,0.000219150
12,recursive,144,232,0.001000000
13,iterative,233,12,0.000037160
13,memoization,233,12,0.000323200
13,recursive,233,376,0.002448000
14,iterative,377,13,0.000043560
14,memoization,377,13,0.000204800
14,recursive,377,609,0.002609000
15,iterative,610,14,0.000038880
15,memoization,610,14,0.000297000
15,recursive,610,986,0.004216000
16,iterative,987,15,0.000041660
16,memoization,987,15,0.000229450
16,recursive,987,1596,0.006920000
17,iterative,1597,16,0.000047880
17,memoization,1597,16,0.000331950
17,recursive,1597,2583,0.011069000
18,iterative,2584,17,0.000047520
18,memoization,2584,17,0.000261350
18,recursive,2584,4180,0.018104000
19,iterative,4181,18,0.000050720
19,memoization,4181,18,0.000362150
19,recursive,4181,6764,0.028980000
20,iterative,6765,19,0.000053480
20,memoization,6765,19,0.000293300
20,recursive,6765,10945,0.046789998
21,iterative,10946,20,0.000057080
21,memoization,10946,20,0.000390750
21,recursive,10946,17710,0.075759998
22,iterative,17711,21,0.000060960
22,memoization,17711,21,0.000326450
22,recursive,17711,28656,0.122640002
23,iterative,28657,22,0.000063120
23,memoization,28657,22,0.000421500
23,recursive,28657,46367,0.198260000
24,iterative,46368,23,0.000065940
24,memoization,46368,23,0.000352000
24,recursive,46368,75024,0.321190003
25,iterative,75025,24,0.000069020
25,memoization,75025,24,0.000452400
25,recursive,75025,121392,0.519259998
26,iterative,121393,25,0.000073020
26,memoization,121393,25,0.000386050
26,recursive,121393,196417,0.842139998
27,iterative,196418,26,0.000076160
27,memoization,196418,26,0.000483700
27,recursive,196418,317810,1.359980002
28,iterative,317811,27,0.000078220
28,memoization,317811,27,0.000411700
28,recursive,317811,514228,2.200070000
29,iterative,514229,28,0.000082300
29,memoization,514229,28,0.000519000
29,recursive,514229,832039,3.562680000
30,iterative,832040,29,0.000084940
30,memoization,832040,29,0.000452200
30,recursive,832040,1346268,6.017670000
31,iterative,1346269,30,0.000088960
31,memoization,1346269,30,0.000544650
32,iterative,2178309,31,0.000091100
32,memoization,2178309,31,0.000477100
33,iterative,3524578,32,0.000094720
33,memoization,3524578,32,0.000581450
34,iterative,5702887,33,0.000098820
34,memoization,5702887,33,0.000520950
35,iterative,9227465,34,0.000101880
35,memoization,9227465,34,0.000616500
36,iterative,14930352,35,0.000109240
36,memoization,14930352,35,0.000548600
37,iterative,24157817,36,0.000107820
37,memoization,24157817,36,0.000646250
38,iterative,39088169,37,0.000114640
38,memoization,39088169,37,0.000576550
39,iterative,63245986,38,0.000119120
39,memoization,63245986,38,0.000680750
40,iterative,102334155,39,0.000120960
40,memoization,102334155,39,0.000605650
41,iterative,165580141,40,0.000121280
41,memoization,165580141,40,0.000710350
42,iterative,267914296,41,0.000128840
42,memoization,267914296,41,0.000650300
43,iterative,433494437,42,0.000132480
43,memoization,433494437,42,0.000755550
44,iterative,701408733,43,0.000129680
44,memoization,701408733,43,0.000679450
45,iterative,1134903170,44,0.000138560
45,memoization,1134903170,44,0.000785650
46,iterative,1836311903,45,0.000142260
46,memoization,1836311903,45,0.000712950
47,iterative,2971215073,46,0.000145740
47,memoization,2971215073,46,0.000817550
48,iterative,4807526976,47,0.000148440
48,memoization,4807526976,47,0.000742550
49,iterative,7778742049,48,0.000152200
49,memoization,7778742049,48,0.000852750
50,iterative,12586269025,49,0.000155420
50,memoization,12586269025,49,0.000783900
51,iterative,20365011074,50,0.000158200
51,memoization,20365011074,50,0.000878350
52,iterative,32951280099,51,0.000161760
52,memoization,32951280099,51,0.000800950
53,iterative,53316291173,52,0.000165860
53,memoization,53316291173,52,0.000909150
54,iterative,86267571272,53,0.000167840
54,memoization,86267571272,53,0.000835850
55,iterative,139583862445,54,0.000171640
55,memoization,139583862445,54,0.000940000
56,iterative,225851433717,55,0.000174540
56,memoization,225851433717,55,0.000863250
57,iterative,365435296162,56,0.000177680
57,memoization,365435296162,56,0.000896150
58,iterative,591286729879,57,0.000181480
58,memoization,591286729879,57,0.000909650
59,iterative,956722026041,58,0.000184360
59,memoization,956722026041,58,0.000958700
60,iterative,1548008755920,59,0.000187060
60,memoization,1548008755920,59,0.000923700
61,iterative,2504730781961,60,0.000190940
61,memoization,2504730781961,60,0.001054850
62,iterative,4052739537881,61,0.000195880
62,memoization,4052739537881,61,0.000960200
63,iterative,6557470319842,62,0.000196980
63,memoization,6557470319842,62,0.001089950
64,iterative,10610209857723,63,0.000200760
64,memoization,10610209857723,63,0.000994850
65,iterative,17167680177565,64,0.000203700
65,memoization,17167680177565,64,0.001126500
66,iterative,27777890035288,65,0.000206700
66,memoization,27777890035288,65,0.001019750
67,iterative,44945570212853,66,0.000210440
67,memoization,44945570212853,66,0.001144900
68,iterative,72723460248141,67,0.000213520
68,memoization,72723460248141,67,0.001051950
69,iterative,117669030460994,68,0.000217860
69,memoization,117669030460994,68,0.001181450
70,iterative,190392490709135,69,0.000220340
70,memoization,190392490709135,69,0.001080600
71,iterative,308061521170129,70,0.000223240
71,memoization,308061521170129,70,0.001224400
72,iterative,498454011879264,71,0.000226300
72,memoization,498454011879264,71,0.001108750
73,iterative,806515533049393,72,0.000230340
73,memoization,806515533049393,72,0.001269200
74,iterative,1304969544928657,73,0.000233220
