n,method,value,ops,time_ms
1,iterative,1,0,0.002700
1,memoization,1,0,0.006200
1,recursive,1,0,0.002600
2,iterative,1,1,0.002600
2,memoization,1,1,0.004700
2,recursive,1,1,0.002500
3,iterative,2,2,0.100300
3,memoization,2,2,0.007600
3,recursive,2,2,0.003300
4,iterative,3,3,0.003000
4,memoization,3,3,0.005300
4,recursive,3,4,0.004000
5,iterative,5,4,0.002000
5,memoization,5,4,0.007000
5,recursive,5,7,0.006000
6,iterative,8,5,0.002100
6,memoization,8,5,0.007100
6,recursive,8,12,0.009700
7,iterative,13,6,0.002700
7,memoization,13,6,0.008700
7,recursive,13,20,0.035300
8,iterative,21,7,0.004300
8,memoization,21,7,0.010300
8,recursive,21,33,0.023100
9,iterative,34,8,0.002900
9,memoization,34,8,0.011000
9,recursive,34,54,0.044400
10,iterative,55,9,0.003200
10,memoization,55,9,0.020100
10,recursive,55,88,0.059600
11,iterative,89,10,0.003800
11,memoization,89,10,0.014800
11,recursive,89,143,0.146900
12,iterative,144,11,0.004100
12,memoization,144,11,0.016100
12,recursive,144,232,0.163800
13,iterative,233,12,0.004100
13,memoization,233,12,0.016100
13,recursive,233,376,0.453600
14,iterative,377,13,0.004800
14,memoization,377,13,0.018000
14,recursive,377,609,1.720000
15,iterative,610,14,0.006500
15,memoization,610,14,0.020100
15,recursive,610,986,0.547100
16,iterative,987,15,0.004800
16,memoization,987,15,0.017400
16,recursive,987,1596,0.876900
17,iterative,1597,16,0.004600
17,memoization,1597,16,0.018700
17,recursive,1597,2583,1.501400
18,iterative,2584,17,0.005300
18,memoization,2584,17,0.050200
18,recursive,2584,4180,4.057300
19,iterative,4181,18,0.009200
19,memoization,4181,18,0.030200
19,recursive,4181,6764,5.089100
20,iterative,6765,19,0.009300
20,memoization,6765,19,0.032500
20,recursive,6765,10945,8.827000
21,iterative,10946,20,0.009700
21,memoization,10946,20,0.033300
21,recursive,10946,17710,11.481200
22,iterative,17711,21,0.005800
22,memoization,17711,21,0.017500
22,recursive,17711,28656,11.585200
23,iterative,28657,22,0.011200
23,memoization,28657,22,0.037800
23,recursive,28657,46367,14.667100
24,iterative,46368,23,0.005700
24,memoization,46368,23,0.022400
24,recursive,46368,75024,34.918300
25,iterative,75025,24,0.007800
25,memoization,75025,24,0.026300
25,recursive,75025,121392,47.476900
26,iterative,121393,25,0.007400
26,memoization,121393,25,0.025800
26,recursive,121393,196417,96.441900
27,iterative,196418,26,0.006100
27,memoization,196418,26,0.021000
27,recursive,196418,317810,137.263100
28,iterative,317811,27,0.006700
28,memoization,317811,27,0.020100
28,recursive,317811,514228,287.332600
29,iterative,514229,28,0.007900
29,memoization,514229,28,0.029400
29,recursive,514229,832039,429.772900
30,iterative,832040,29,0.008300
30,memoization,832040,29,0.031100
30,recursive,832040,1346268,623.860700
31,iterative,1346269,30,0.008700
31,memoization,1346269,30,0.029900
32,iterative,2178309,31,0.005800
32,memoization,2178309,31,0.025100
33,iterative,3524578,32,0.005800
33,memoization,3524578,32,0.025700
34,iterative,5702887,33,0.006000
34,memoization,5702887,33,0.159000
35,iterative,9227465,34,0.006500
35,memoization,9227465,34,0.027100
36,iterative,14930352,35,0.006400
36,memoization,14930352,35,0.027500
37,iterative,24157817,36,0.006500
37,memoization,24157817,36,0.027700
38,iterative,39088169,37,0.006600
38,memoization,39088169,37,0.028200
39,iterative,63245986,38,0.006800
39,memoization,63245986,38,0.029300
40,iterative,102334155,39,0.007000
40,memoization,102334155,39,0.030000
41,iterative,165580141,40,0.007300
41,memoization,165580141,40,0.030400
42,iterative,267914296,41,0.007300
42,memoization,267914296,41,0.032100
43,iterative,433494437,42,0.007500
43,memoization,433494437,42,0.037700
44,iterative,701408733,43,0.008700
44,memoization,701408733,43,0.033500
45,iterative,1134903170,44,0.007800
45,memoization,1134903170,44,0.061100
46,iterative,1836311903,45,0.008000
46,memoization,1836311903,45,0.035000
47,iterative,2971215073,46,0.008100
47,memoization,2971215073,46,0.040300
48,iterative,4807526976,47,0.008000
48,memoization,4807526976,47,0.041800
49,iterative,7778742049,48,0.008400
49,memoization,7778742049,48,0.037400
50,iterative,12586269025,49,0.008600
50,memoization,12586269025,49,0.039600
51,iterative,20365011074,50,0.008700
51,memoization,20365011074,50,0.038300
52,iterative,32951280099,51,0.008800
52,memoization,32951280099,51,0.042700
53,iterative,53316291173,52,0.009000
53,memoization,53316291173,52,0.039500
54,iterative,86267571272,53,0.009000
54,memoization,86267571272,53,0.040200
55,iterative,139583862445,54,0.009300
55,memoization,139583862445,54,0.041200
56,iterative,225851433717,55,0.009100
56,memoization,225851433717,55,0.045800
57,iterative,365435296162,56,0.009600
57,memoization,365435296162,56,0.042700
58,iterative,591286729879,57,0.009700
58,memoization,591286729879,57,0.043600
59,iterative,956722026041,58,0.009700
59,memoization,956722026041,58,0.047500
60,iterative,1548008755920,59,0.010100
60,memoization,1548008755920,59,0.046700
61,iterative,2504730781961,60,0.010400
61,memoization,2504730781961,60,0.071300
62,iterative,4052739537881,61,0.010400
62,memoization,4052739537881,61,0.054100
63,iterative,6557470319842,62,0.009600
63,memoization,6557470319842,62,0.059500
64,iterative,10610209857723,63,0.011200
64,memoization,10610209857723,63,0.048700
65,iterative,17167680177565,64,0.011100
65,memoization,17167680177565,64,0.055800
66,iterative,27777890035288,65,0.011200
66,memoization,27777890035288,65,0.049100
67,iterative,44945570212853,66,0.011200
67,memoization,44945570212853,66,0.051600
68,iterative,72723460248141,67,0.011400
68,memoization,72723460248141,67,0.053400
69,iterative,117669030460994,68,0.011500
69,memoization,117669030460994,68,0.055400
70,iterative,190392490709135,69,0.011400
70,memoization,190392490709135,69,0.051600
71,iterative,308061521170129,70,0.011800
71,memoization,308061521170129,70,0.056000
72,iterative,498454011879264,71,0.011900
72,memoization,498454011879264,71,0.054200
73,iterative,806515533049393,72,0.012200
73,memoization,806515533049393,72,0.082200
74,iterative,1304969544928657,73,0.014100
74,memoization,1304969544928657,73,0.064700
75,iterative,2111485077978050,74,0.012400
75,memoization,2111485077978050,74,0.057700
76,iterative,3416454622906707,75,0.012400
76,memoization,3416454622906707,75,0.061300
77,iterative,5527939700884757,76,0.012900
77,memoization,5527939700884757,76,0.057300
78,iterative,8944394323791464,77,0.012700
78,memoization,8944394323791464,77,0.061800
79,iterative,14472334024676221,78,0.012900
79,memoization,14472334024676221,78,0.063200
80,iterative,23416728348467685,79,0.013100
80,memoization,23416728348467685,79,0.059800
81,iterative,37889062373143906,80,0.013300
81,memoization,37889062373143906,80,0.061200
82,iterative,61305790721611591,81,0.013400
82,memoization,61305790721611591,81,0.060900
83,iterative,99194853094755497,82,0.013700
83,memoization,99194853094755497,82,0.067900
84,iterative,160500643816367088,83,0.013700
84,memoization,160500643816367088,83,0.062800
85,iterative,259695496911122585,84,0.014000
85,memoization,259695496911122585,84,0.068700
86,iterative,420196140727489673,85,0.014200
86,memoization,420196140727489673,85,0.069000
87,iterative,679891637638612258,86,0.014200
87,memoization,679891637638612258,86,0.075500
88,iterative,1100087778366101931,87,0.014200
88,memoization,1100087778366101931,87,0.066200
89,iterative,1779979416004714189,88,0.014600
89,memoization,1779979416004714189,88,0.074100
90,iterative,2880067194370816120,89,0.014700
90,memoization,2880067194370816120,89,0.093000
91,iterative,4660046610375530309,90,0.014800
91,memoization,4660046610375530309,90,0.076300
92,iterative,7540113804746346429,91,0.015000
92,memoization,7540113804746346429,91,0.071900
93,iterative,12200160415121876738,92,0.015200
93,memoization,12200160415121876738,92,0.070800
94,iterative,19740274219868223167,93,0.015300
94,memoization,19740274219868223167,93,0.071900
95,iterative,31940434634990099905,94,0.015400
95,memoization,31940434634990099905,94,0.073300
96,iterative,51680708854858323072,95,0.015700
96,memoization,51680708854858323072,95,0.078600
97,iterative,83621143489848422977,96,0.015900
97,memoization,83621143489848422977,96,0.072700
98,iterative,135301852344706746049,97,0.015900
98,memoization,135301852344706746049,97,0.071700
99,iterative,218922995834555169026,98,0.015900
99,memoization,218922995834555169026,98,0.075800
100,iterative,354224848179261915075,99,0.016000
100,memoization,354224848179261915075,99,0.081800
101,iterative,573147844013817084101,100,0.016400
101,memoization,573147844013817084101,100,0.073900
102,iterative,927372692193078999176,101,0.016300
102,memoization,927372692193078999176,101,0.076000
103,iterative,1500520536206896083277,102,0.016500
103,memoization,1500520536206896083277,102,0.129400
104,iterative,2427893228399975082453,103,0.016900
104,memoization,2427893228399975082453,103,0.081700
105,iterative,3928413764606871165730,104,0.017200
105,memoization,3928413764606871165730,104,0.078700
106,iterative,6356306993006846248183,105,0.017000
106,memoization,6356306993006846248183,105,0.079400
107,iterative,10284720757613717413913,106,0.017100
107,memoization,10284720757613717413913,106,0.085300
108,iterative,16641027750620563662096,107,0.017300
108,memoization,16641027750620563662096,107,0.081200
109,iterative,26925748508234281076009,108,0.017400
109,memoization,26925748508234281076009,108,0.084000
110,iterative,43566776258854844738105,109,0.017800
110,memoization,43566776258854844738105,109,0.082800
111,iterative,70492524767089125814114,110,0.017900
111,memoization,70492524767089125814114,110,0.089900
112,iterative,114059301025943970552219,111,0.018000
112,memoization,114059301025943970552219,111,0.083300
113,iterative,184551825793033096366333,112,0.018100
113,memoization,184551825793033096366333,112,0.087700
114,iterative,298611126818977066918552,113,0.018500
114,memoization,298611126818977066918552,113,0.083400
115,iterative,483162952612010163284885,114,0.018500
115,memoization,483162952612010163284885,114,0.089200
116,iterative,781774079430987230203437,115,0.018600
116,memoization,781774079430987230203437,115,0.086200
117,iterative,1264937032042997393488322,116,0.018900
117,memoization,1264937032042997393488322,116,0.090600
118,iterative,2046711111473984623691759,117,0.019200
118,memoization,2046711111473984623691759,117,0.089100
119,iterative,3311648143516982017180081,118,0.019200
119,memoization,3311648143516982017180081,118,0.089800
120,iterative,5358359254990966640871840,119,0.019200
120,memoization,5358359254990966640871840,119,0.092400
121,iterative,8670007398507948658051921,120,0.019400
121,memoization,8670007398507948658051921,120,0.091900
122,iterative,14028366653498915298923761,121,0.019600
122,memoization,14028366653498915298923761,121,0.096400
123,iterative,22698374052006863956975682,122,0.019800
123,memoization,22698374052006863956975682,122,0.094200
124,iterative,36726740705505779255899443,123,0.020000
124,memoization,36726740705505779255899443,123,0.092500
125,iterative,59425114757512643212875125,124,0.020100
125,memoization,59425114757512643212875125,124,0.097700
126,iterative,96151855463018422468774568,125,0.015800
126,memoization,96151855463018422468774568,125,0.111400
127,iterative,155576970220531065681649693,126,0.020700
127,memoization,155576970220531065681649693,126,0.103000
128,iterative,251728825683549488150424261,127,0.020600
128,memoization,251728825683549488150424261,127,0.095200
129,iterative,407305795904080553832073954,128,0.020500
129,memoization,407305795904080553832073954,128,0.133200
130,iterative,659034621587630041982498215,129,0.020800
130,memoization,659034621587630041982498215,129,0.102500
131,iterative,1066340417491710595814572169,130,0.020900
131,memoization,1066340417491710595814572169,130,0.105200
132,iterative,1725375039079340637797070384,131,0.021200
132,memoization,1725375039079340637797070384,131,0.097000
133,iterative,2791715456571051233611642553,132,0.021400
133,memoization,2791715456571051233611642553,132,0.096900
134,iterative,4517090495650391871408712937,133,0.021500
134,memoization,4517090495650391871408712937,133,0.097700
135,iterative,7308805952221443105020355490,134,0.022200
135,memoization,7308805952221443105020355490,134,0.251900
136,iterative,11825896447871834976429068427,135,0.022900
136,memoization,11825896447871834976429068427,135,0.101000
137,iterative,19134702400093278081449423917,136,0.022500
137,memoization,19134702400093278081449423917,136,0.103200
138,iterative,30960598847965113057878492344,137,0.023100
138,memoization,30960598847965113057878492344,137,0.101100
139,iterative,50095301248058391139327916261,138,0.023000
139,memoization,50095301248058391139327916261,138,0.105200
140,iterative,81055900096023504197206408605,139,0.023100
140,memoization,81055900096023504197206408605,139,0.102100
141,iterative,131151201344081895336534324866,140,0.023200
141,memoization,131151201344081895336534324866,140,0.102600
142,iterative,212207101440105399533740733471,141,0.023800
142,memoization,212207101440105399533740733471,141,0.103400
143,iterative,343358302784187294870275058337,142,0.023600
143,memoization,343358302784187294870275058337,142,0.109100
144,iterative,555565404224292694404015791808,143,0.023700
144,memoization,555565404224292694404015791808,143,0.106700
145,iterative,898923707008479989274290850145,144,0.024000
145,memoization,898923707008479989274290850145,144,0.107900
146,iterative,1454489111232772683678306641953,145,0.024400
146,memoization,1454489111232772683678306641953,145,0.106400
147,iterative,2353412818241252672952597492098,146,0.023400
147,memoization,2353412818241252672952597492098,146,0.106700
148,iterative,3807901929474025356630904134051,147,0.024200
148,memoization,3807901929474025356630904134051,147,0.111800
149,iterative,6161314747715278029583501626149,148,0.024500
149,memoization,6161314747715278029583501626149,148,0.108300
150,iterative,9969216677189303386214405760200,149,0.024800
150,memoization,9969216677189303386214405760200,149,0.110200
151,iterative,16130531424904581415797907386349,150,0.025100
151,memoization,16130531424904581415797907386349,150,0.114200
152,iterative,26099748102093884802012313146549,151,0.024900
152,memoization,26099748102093884802012313146549,151,0.115500
153,iterative,42230279526998466217810220532898,152,0.024900
153,memoization,42230279526998466217810220532898,152,0.112400
154,iterative,68330027629092351019822533679447,153,0.025200
154,memoization,68330027629092351019822533679447,153,0.114200
155,iterative,110560307156090817237632754212345,154,0.025200
155,memoization,110560307156090817237632754212345,154,0.113400
156,iterative,178890334785183168257455287891792,155,0.025400
156,memoization,178890334785183168257455287891792,155,0.119800
157,iterative,289450641941273985495088042104137,156,0.025200
157,memoization,289450641941273985495088042104137,156,0.114200
158,iterative,468340976726457153752543329995929,157,0.025200
158,memoization,468340976726457153752543329995929,157,0.116300
159,iterative,757791618667731139247631372100066,158,0.025700
159,memoization,757791618667731139247631372100066,158,0.115600
160,iterative,1226132595394188293000174702095995,159,0.026100
160,memoization,1226132595394188293000174702095995,159,0.116500
161,iterative,1983924214061919432247806074196061,160,0.026300
161,memoization,1983924214061919432247806074196061,160,0.122600
162,iterative,3210056809456107725247980776292056,161,0.026000
162,memoization,3210056809456107725247980776292056,161,0.117500
163,iterative,5193981023518027157495786850488117,162,0.026000
163,memoization,5193981023518027157495786850488117,162,0.118300
164,iterative,8404037832974134882743767626780173,163,0.026100
